time=2023-04-08T01:37:22+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:37:25+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:54+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:55+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:55+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:55+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:56+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:56+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:57+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:57+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:57+07:00 method=GET, uri=/, status=200
time=2023-04-08T01:38:58+07:00 method=GET, uri=/, status=200
